Multi Centra Alkesindo,5,1,"Grahapena Building, Jalan A Yani no. 88, Kelurahan Ketintang, Kecamatan Gayugan Floor 16 No. 1604, Ketintang, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJlchSGzD71y0RistmUQqn2DE
PT Citra Margatama Surabaya,4.5,62,"Jl. Wisata Menanggal No.21, Dukuh Menanggal, Surabaya",http://www.cms.co.id/,https://www.google.com/maps/place/?q=place_id:ChIJmZ-3xXX81y0RhukNfVxCaJQ
PT. BAHTERA ANUGERAH INDONESIA,4.8,4,"Jl. Jojoran III No.41, Mojo, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJo6dDPC361y0RIrGBiWXJbo0
PT Yuwana Catur Manunggal - Jawa Timur Area,4.5,40,"Jl. Raya Surabaya - Malang No.km51, RW.4, Mekar Raya Binangun, Janti, Pasuruan",,https://www.google.com/maps/place/?q=place_id:ChIJU5Int0r71y0RMi9YHHgXz7k
PT BERJAYA LANCAR TERUS BLOK H 33,4.5,10,"H, Jl. Kencanasari Timur II No.33 blok h, Gn. Sari, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJz0NFwIj71y0RlLiAIvvcQww
PT. Bisma Citra Nusantara,4.7,3,"Jl.Wisma Pagesangan II No.24, RT002 RW 004 Kota SBY, Pagesangan, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJr6aw-1f71y0RijBpVvizabM
Panatronics. PT - Surabaya,0,0,"Jl. Simpang Dukuh No.38-40 Ruko Andika Plaza Blok B 38 AA, Genteng, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJ132j2Gb51y0RRqojN2a1jXU
PT. Jakarta Raya Golden Industri,4.3,7,"Kawasan SIER Jalan Rungkut Industri III No. 25 Gunung Anyar, Kutisari, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJhdLbiNj61y0RgZIOToK0jpc
PT Pelabuhan Terakhir Langgeng Sejahtera,5,18,"Jl. Lombok No.22, Ngagel, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJj9jYrFr71y0R6htnvqpCxIo
PT. Gawih Jaya (Wismilak Group),4.4,43,"Komplek Pergudangan Tanjungsari Mas Blok D1-D2, Jalan Tanjungsari, Sukomanunggal, Tanjungsari, Surabaya",http://www.wismilak.com/,https://www.google.com/maps/place/?q=place_id:ChIJ4VuozKL-1y0Rn1qw6s2c6Kc
PT. Adi CitraMakmur,5,2,"MP26+6WQ, Jl. Ketegan Barat Gang III, Ketegan, Sidoarjo Regency",,https://www.google.com/maps/place/?q=place_id:ChIJy7-1DZPj1y0RauEALn7j8lQ
PT. NIKITA SAKA,4,4,"Jl. Kolonel Sugiono No.35, Ngingas, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJ422TScnk1y0RBPprm7clWak
PT Asia Lian Tan,4.7,3,"MPVV+CX3 泗水 City, Bendul Merisi, Surabaya",http://www.joss-sticks.com/,https://www.google.com/maps/place/?q=place_id:ChIJTzHKUqf71y0R1RsE3z1xf8s
PT. Mikatasa Agung Head Office,4.8,76,"Jl. Rungkut Industri I No.15, Kendangsari, Surabaya",http://www.mikatasa.com/,https://www.google.com/maps/place/?q=place_id:ChIJsyW6CCL71y0RWYRN41JwSgM
PT Trijaya Corporation,4.4,5,"No., Jl. Ketintang Madya No.167, Karah, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJ7StwhWT71y0RSp0GwNsd-KE
PT. Alvindo,4.7,22,"C No. 601, Jl. Margorejo Indah XIV, Margorejo, Surabaya",http://alvindo.co.id/,https://www.google.com/maps/place/?q=place_id:ChIJXYMGexL71y0RVRsEUB8bJkI
PT. Intecs Teknikatama Industri,5,6,"Puncak CBD ruko Mall 9i, Jl. Keramat I, Jajar Tunggal, Surabaya",http://intecs.co.id/,https://www.google.com/maps/place/?q=place_id:ChIJvTuocWP71y0RUhBkjA6ksIQ
PT.Catur Putra Surya,1.2,318,"Jl. Rungkut Industri III No.36, Rungkut Menanggal, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJL71P7CX71y0RgbRNoBFlL9k
PT. Internasional Raya Pengembang,0,0,"Jl. Darmo Permai Sel. I No.50, Pradahkalikendal, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJQfVzBz381y0RG3mKJKbwcVc
PT Hanjaya Mandala Sampoerna Tbk,4.4,866,"Jl. Rungkut Industri Raya No.18, Kali Rungkut, Surabaya",http://www.sampoerna.com/,https://www.google.com/maps/place/?q=place_id:ChIJWR489d_61y0Rr36k00Sm8Sg
